quadra;lote;area_m2_dxf;utm_e;utm_n;latitude;longitude
E;;159.93;234144.649;7926747.134;-18.73379893;-47.52131042
H;12;428.02;233864.876;7927366.355;-18.72817215;-47.52387876
H;10;641.79;233878.964;7927282.049;-18.72893517;-47.52375656
G;09;708.49;233847.492;7927211.871;-18.72956478;-47.52406423
K;01;467.75;233584.761;7927043.714;-18.7310495;-47.52657664
B;04;504.44;233851.469;7926959.626;-18.73184284;-47.52406037
E;25;470.92;233952.816;7927002.889;-18.73146517;-47.52309412
E;18;450.42;234011.162;7926874.619;-18.73263079;-47.52255839
C;;525.04;233798.792;7926813.758;-18.73315317;-47.52457916
C;;360.0;233813.95;7926815.8;-18.73313667;-47.52443523
C;;360.0;233825.95;7926815.8;-18.73313821;-47.52432151
C;;360.0;233837.95;7926815.8;-18.73313974;-47.52420779
C;;360.0;233849.95;7926815.8;-18.73314128;-47.52409406
C;;360.0;233861.95;7926815.8;-18.73314281;-47.52398034
C;;360.0;233873.95;7926815.8;-18.73314434;-47.52386662
C;;360.0;233885.95;7926815.8;-18.73314588;-47.52375289
C;;360.0;233897.95;7926815.8;-18.73314741;-47.52363917
C;;360.0;233909.95;7926815.8;-18.73314894;-47.52352545
C;;360.0;233921.95;7926815.8;-18.73315048;-47.52341172
C;;360.0;233933.95;7926815.8;-18.73315201;-47.523298
C;;360.0;233945.95;7926815.8;-18.73315354;-47.52318428
C;;360.0;233957.95;7926815.8;-18.73315508;-47.52307056
C;;360.0;233969.95;7926815.8;-18.73315661;-47.52295683
C;;359.55;233981.943;7926815.8;-18.73315814;-47.52284318
C;;561.02;233996.891;7926811.842;-18.73319579;-47.52270205
C;;360.0;233969.95;7926785.8;-18.73342749;-47.52296086
C;;360.0;233957.95;7926785.8;-18.73342595;-47.52307458
C;;360.0;233945.95;7926785.8;-18.73342442;-47.5231883
C;;360.0;233933.95;7926785.8;-18.73342289;-47.52330203
C;;360.0;233921.95;7926785.8;-18.73342135;-47.52341575
C;;360.0;233909.95;7926785.8;-18.73341982;-47.52352947
C;;360.0;233897.95;7926785.8;-18.73341828;-47.5236432
C;;360.0;233885.95;7926785.8;-18.73341675;-47.52375692
C;;360.0;233873.95;7926785.8;-18.73341522;-47.52387064
C;;360.0;233861.95;7926785.8;-18.73341368;-47.52398437
C;;360.0;233849.95;7926785.8;-18.73341215;-47.52409809
C;;360.0;233837.95;7926785.8;-18.73341062;-47.52421181
C;;360.0;233825.95;7926785.8;-18.73340908;-47.52432554
C;;360.0;233813.95;7926785.8;-18.73340755;-47.52443926
C;18;360.0;233801.95;7926785.8;-18.73340601;-47.52455298
E;17;747.09;234004.659;7926855.301;-18.73280439;-47.5226226
E;19;462.63;234015.415;7926887.831;-18.73251204;-47.52251631
E;20;454.61;234019.512;7926902.566;-18.73237952;-47.52247551
E;21;457.78;234022.804;7926917.752;-18.73224283;-47.52244227
E;22;457.74;234025.398;7926933.942;-18.73209697;-47.52241552
E;23;457.72;234026.985;7926948.941;-18.73196175;-47.52239846
E;24;457.74;234027.81;7926964.172;-18.73182434;-47.52238861
E;25;457.73;234027.838;7926979.65;-18.73168458;-47.52238626
E;26;457.73;234027.087;7926994.658;-18.73154898;-47.52239137
E;27;457.69;234025.559;7927009.732;-18.73141268;-47.52240383
E;28;457.67;234023.26;7927024.715;-18.7312771;-47.52242361
L;29;457.68;234019.705;7927041.605;-18.73112414;-47.52245504
L;30;457.7;234015.804;7927056.139;-18.73099242;-47.52249005
L;32;457.92;234006.396;7927083.018;-18.73074852;-47.52257561
F;33;592.98;233999.535;7927098.506;-18.7306078;-47.52263856
F;01;625.63;233973.241;7927085.174;-18.73072482;-47.52288953
E;02;476.87;233980.285;7927067.494;-18.73088535;-47.52282514
